,movie_id,title,tags
0,19995,Avatar,"in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization. action adventur fantasi science_fict culture_clash futur space_war space_coloni societi space_travel futurist romanc space alien tribe alien_planet cgi marin soldier battl love_affair anti_war power_rel mind_and_soul 3d sam_worthington zoe_saldana sigourney_weav stephen_lang michelle_rodriguez james_cameron"
1,285,Pirates of the Caribbean: At World's End,"captain barbossa, long believ to be dead, ha come back to life and is head to the edg of the earth with will turner and elizabeth swann. but noth is quit as it seems. adventur fantasi action ocean drug_abus exotic_island east_india_trading_compani love_of_one's_lif traitor shipwreck strong_woman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnny_depp orlando_bloom keira_knightley stellan_skarsgård chow_yun-fat gore_verbinski"
2,206647,Spectre,"a cryptic messag from bond’ past send him on a trail to uncov a sinist organization. while m battl polit forc to keep the secret servic alive, bond peel back the layer of deceit to reveal the terribl truth behind spectre. action adventur crime spi based_on_novel secret_ag sequel mi6 british_secret_servic united_kingdom daniel_craig christoph_waltz léa_seydoux ralph_fienn monica_bellucci sam_mend"
3,49026,The Dark Knight Rises,"follow the death of district attorney harvey dent, batman assum respons for dent' crime to protect the late attorney' reput and is subsequ hunt by the gotham citi polic department. eight year later, batman encount the mysteri selina kyle and the villain bane, a new terrorist leader who overwhelm gotham' finest. the dark knight resurfac to protect a citi that ha brand him an enemy. action crime drama thriller dc_comic crime_fight terrorist secret_ident burglar hostage_drama time_bomb gotham_c vigilant cover-up superhero villai tragic_hero terror destruct catwoman cat_burglar imax flood criminal_underworld batman christian_bal michael_cain gary_oldman anne_hathaway tom_hardi christopher_nolan"
4,49529,John Carter,"john carter is a war-weary, former militari captain who' inexplic transport to the mysteri and exot planet of barsoom (mars) and reluctantli becom embroil in an epic conflict. it' a world on the brink of collapse, and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands. action adventur science_fict based_on_novel mar medallion space_travel princess alien steampunk martian escap edgar_rice_burrough alien_rac superhuman_strength mars_civil sword_and_planet 19th_centuri 3d taylor_kitsch lynn_collin samantha_morton willem_dafo thomas_haden_church andrew_stanton"
5,559,Spider-Man 3,"the seemingli invinc spider-man goe up against an all-new crop of villain – includ the shape-shift sandman. while spider-man’ superpow are alter by an alien organism, hi alter ego, peter parker, deal with nemesi eddi brock and also get caught up in a love triangle. fantasi action adventur dual_ident amnesia sandstorm love_of_one's_lif forgiv spider wretch death_of_a_friend egomania sand narcism hostil marvel_com sequel superhero reveng tobey_maguir kirsten_dunst james_franco thomas_haden_church topher_grac sam_raimi"
6,38757,Tangled,"when the kingdom' most wanted-and most charming-bandit flynn rider hide out in a mysteri tower, he' taken hostag by rapunzel, a beauti and feisti tower-bound teen with 70 feet of magical, golden hair. flynn' curiou captor, who' look for her ticket out of the tower where she' been lock away for years, strike a deal with the handsom thief and the unlik duo set off on an action-pack escapade, complet with a super-cop horse, an over-protect chameleon and a gruff gang of pub thugs. anim famili hostag magic hors fairy_tal music princess anim tower blonde_woman selfish healing_pow based_on_fairy_tal duringcreditssting healing_gift animal_sidekick zachary_levi mandy_moor donna_murphi ron_perlman m.c._gainey byron_howard nathan_greno"
7,99861,Avengers: Age of Ultron,"when toni stark tri to jumpstart a dormant peacekeep program, thing go awri and earth’ mightiest hero are put to the ultim test as the fate of the planet hang in the balance. as the villain ultron emerges, it is up to the aveng to stop him from enact hi terribl plans, and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure. action adventur science_fict marvel_com sequel superhero based_on_comic_book vision superhero_team duringcreditssting marvel_cinematic_univers 3d robert_downey_jr. chris_hemsworth mark_ruffalo chris_evan scarlett_johansson joss_whedon"
8,767,Harry Potter and the Half-Blood Prince,"as harri begin hi sixth year at hogwarts, he discov an old book mark as 'properti of the half-blood prince', and begin to learn more about lord voldemort' dark past. adventur fantasi famili witch magic broom school_of_witchcraft wizardri apparit teenage_crush werewolf daniel_radcliff rupert_grint emma_watson tom_felton michael_gambon david_y"
9,209112,Batman v Superman: Dawn of Justice,"fear the action of a god-lik super hero left unchecked, gotham city’ own formidable, forc vigilant take on metropolis’ most revered, modern-day savior, while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one another, a new threat quickli arises, put mankind in greater danger than it’ ever known before. action adventur fantasi dc_comic vigilant superhero based_on_comic_book reveng super_pow clark_kent bruce_wayn dc_extended_univers ben_affleck henry_cavil gal_gadot amy_adam jesse_eisenberg zack_snyd"
10,1452,Superman Returns,"superman return to discov hi 5-year absenc ha allow lex luthor to walk free, and that those he wa closest too felt abandon and have move on. luthor plot hi ultim reveng that could see million kill and chang the face of the planet forever, as well as rid himself of the man of steel. adventur fantasi action science_fict saving_the_world dc_comic invulner sequel superhero based_on_comic_book kryptonit super_pow superhuman_strength lex_luthor brandon_routh kevin_spacey kate_bosworth james_marsden parker_posey bryan_sing"
11,10764,Quantum of Solace,"quantum of solac continu the adventur of jame bond after casino royale. betray by vesper, the woman he loved, 007 fight the urg to make hi latest mission personal. pursu hi determin to uncov the truth, bond and m interrog mr. white, who reveal that the organ that blackmail vesper is far more complex and danger than anyon had imagined. adventur action thriller crime kill undercov secret_ag british_secret_servic daniel_craig olga_kurylenko mathieu_amalr judi_dench giancarlo_giannini marc_forst"
12,58,Pirates of the Caribbean: Dead Man's Chest,"captain jack sparrow work hi way out of a blood debt with the ghostli davey jones, he also attempt to avoid etern damnation. adventur fantasi action witch fortune_tel bondag exotic_island monster captain card_gam east_india_trading_compani compass ship daughter pirat swashbuckl aftercreditssting johnny_depp orlando_bloom keira_knightley stellan_skarsgård bill_nighi gore_verbinski"
13,57201,The Lone Ranger,"the texa ranger chase down a gang of outlaw led by butch cavendish, but the gang ambush the rangers, seemingli kill them all. one survivor is found, however, by an american indian name tonto, who nurs him back to health. the ranger, don a mask and ride a white stallion name silver, team up with tonto to bring the unscrupul gang and other of that ilk to justice. action adventur western texa hors survivor texas_rang partner outlaw escap lawyer train lone_rang comanch the_lone_rang tonto johnny_depp armie_hamm william_fichtn helena_bonham_cart james_badge_dal gore_verbinski"
14,49521,Man of Steel,"a young boy learn that he ha extraordinari power and is not of thi earth. as a young man, he journey to discov where he came from and what he wa sent here to do. but the hero in him must emerg if he is to save the world from annihil and becom the symbol of hope for all mankind. action adventur fantasi science_fict saving_the_world dc_comic superhero based_on_comic_book superhuman alien_invas reboot super_pow dc_extended_univers henry_cavil amy_adam michael_shannon kevin_costn diane_lan zack_snyd"
15,2454,The Chronicles of Narnia: Prince Caspian,"one year after their incred adventur in the lion, the witch and the wardrobe, peter, edmund, luci and susan pevensi return to narnia to aid a young princ whose life ha been threaten by the evil king miraz. now, with the help of a color cast of new characters, includ trufflehunt the badger and nikabrik the dwarf, the pevensi clan embark on an incred quest to ensur that narnia is return to it right heir. adventur famili fantasi based_on_novel fictional_plac brother_sister_relationship lion human_b wretch leap_in_tim matter_of_life_and_death faith uncl narnia fantasy_world ben_barn william_moseley anna_popplewel skandar_keyn georgie_henley andrew_adamson"
